,total_route,single_distance,single_cargo_weight,single_cargo_volume,total_travel_time
1,1,0,0,0,0
2,1174,2.893449215,32.5,17.5,48.04822415
3,1200,0.026809177,57,33,34.00044682
4,1196,0.001694793,37.5,20.5,24.00002825
5,1198,0,26,14,26
6,1205,0.000627158,28,15,32.00001045
7,1207,0,36,20,12
8,1209,0,14,8,52
9,1211,0,62,36,4
10,1210,0.000534074,4.5,2.5,14.0000089
11,1212,0.000534074,17.5,10.5,34.0000089
12,1216,0.005271136,42,25,34.00008785
13,1215,0.004603497,39.5,22.5,24.00007672
14,1217,0.003505692,27,15,42.00005843
15,1221,0.008963917,51,30,30.0001494
16,1225,0.01006529,36.5,21.5,0.000167755
17,1224,0.000282467,0,0,36.00000471
18,1226,0.000282467,43.5,25.5,30.00000471
19,1223,0.000348311,37.5,22.5,28.00000581
20,1227,0.000482285,33.5,19.5,24.00000804
21,1231,0.000676187,29.5,17.5,38.00001127
22,1233,5.81E-05,44.5,25.5,22.00000097
23,1230,0.000501746,22.5,11.5,40.00000836
24,1229,0.000111195,45,25,24.00000185
25,1232,0.000160762,28,16,22.00000268
26,1234,0.000558997,25,14,32.00000932
27,1236,0.000338598,36,20,24.00000564
28,1238,0.02298846,26,14,52.00038314
29,1240,0,61.5,35.5,30
30,1244,0.002634055,37.5,22.5,46.0000439
31,1248,0.000676069,55,32,28.00001127
32,1246,0.000688602,32,18,40.00001148
33,1243,0.00059096,47,27,26.00000985
34,1250,0.001211706,29.5,16.5,42.0000202
35,1242,0.001567086,47.5,26.5,32.00002612
36,1247,0.00059096,39.5,23.5,26.00000985
37,1245,0.000676069,32,19,20.00001127
38,1249,0.000688602,22,12,24.00001148
39,1251,0.002479797,25.5,13.5,42.00004133
40,1239,0.005549755,52,31,50.0000925
41,1252,0.005549755,59,34,30.0000925
42,1255,0.000706409,34,19,50.00001177
43,1241,0.00867627,60,35,18.0001446
44,1256,0.004686985,22,13,26.00007812
45,1258,0,32,19,24
46,1257,0.00081225,26.5,14.5,18.00001354
47,1259,0.00081225,19,10,12.00001354
48,1261,0,13,7,22
49,1254,0.018678656,25.5,14.5,32.00031131
50,1253,0.000706409,36,20,10.00001177
51,1262,0.018678656,10.5,5.5,34.00031131
52,1271,0.001068347,41,24,34.00001781
53,1275,0.003061858,42,25,4.000051031
54,1280,0,5,3,48
55,1282,0,55,31,30
56,1284,0.002785323,33.5,18.5,26.00004642
57,1283,0.002933949,28,15,24.0000489
58,1285,0.001050845,28.5,16.5,26.00001751
59,1290,0.001191249,31.5,18.5,38.00001985
