"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1",1,0,0,0,0
"2",3,3.13409575249783,61,35,52.0522349292083
"3",5,0.00032121685002472,60,34,18.0000053536142
"4",7,0.000206358627450837,22,13,32.0000034393105
"5",6,0.000441839410650451,38,22,26.0000073639902
"6",8,0.000250775136330054,28.5,15.5,28.0000041795856
"7",13,0,31.5,17.5,24
"8",15,0.000677160288982854,26,14,30.0000112860048
"9",14,0.00127159712995381,37,22,34.0000211932855
"10",16,0.00190447090712515,38.5,21.5,18.0000317411818
"11",23,0.247729614359483,22.5,13.5,28.004128826906
"12",26,0,31,17,24
"13",25,0.00128762243712696,27,15,52.000021460374
"14",24,0,61,35,26
"15",27,0.00128762243712696,31.5,18.5,34.000021460374
"16",29,0,42.5,25.5,38
"17",31,0.0104768352998799,46,27,24.0001746139217
"18",33,0.0244620215215973,28,16,56.0004077003587
"19",32,0.0449108087571023,65,37,40.0007485134793
"20",34,0.0204513840385964,49,29,14.0003408564006
"21",36,0,16,9,14
"22",28,0.269273492900016,17,10,28.0044878915483
"23",37,0.269273492900016,33,19,18.0044878915483
"24",77,0.0978490652507694,20,11,42.0016308177542
"25",76,0.00639041346406251,49,28,20.0001065068911
"26",82,0.0376429624653665,21,11,40.0006273827078
"27",85,0.0530682562874571,47.5,27.5,32.0008844709381
"28",79,0.0732913723015035,35,19,14.0012215228717
"29",78,0.0114100501926337,17.5,10.5,18.0001901675032
"30",80,0.0303725359625451,21,12,36.0005062089327
"31",86,0.0780162982884853,40,22,50.0013002716381
"32",88,0.000977623101525261,57.5,32.5,38.0000162937184
"33",90,0,42.5,23.5,8
"34",92,0.00141254399445912,8,4,32.0000235423999
"35",94,0.000289727431201278,35.5,19.5,34.0000048287905
"36",93,0.00436784734704095,39,22,34.0000727974558
"37",95,0.00434279184908254,40.5,23.5,38.0000723798642
"38",89,0.0241311663476371,47.5,28.5,46.0004021861058
"39",96,0.0241311663476371,54.5,31.5,32.0004021861058
"40",141,0.170321270733045,37,21,26.0028386878455
"41",143,0,27.5,14.5,40
"42",145,0.000567918239819361,48.5,28.5,46.000009465304
"43",147,0,55.5,32.5,10
"44",149,0.0141783759338827,10,5,44.0002363062656
"45",151,0,50,28,34
"46",153,0,38,21,32
"47",155,0,36,20,24
"48",157,0,25.5,13.5,22
"49",159,0,22.5,11.5,30
"50",161,0,34,19,42
"51",164,0,48.5,27.5,24
"52",166,0,28,16,22
"53",142,0.0505733697526342,25.5,14.5,24.0008428894959
"54",167,0.0505733697526342,28.5,16.5,56.0008428894959
"55",170,0.00522648293166833,65.5,37.5,12.0000871080489
"56",237,0.211143689219308,14.5,8.5,10.003519061487
"57",241,0,10.5,5.5,10
"58",243,0,12.5,7.5,38
"59",245,0.000111194927084224,47,28,56.0000018532488
"60",228,0.0212623437790631,66,38,48.0003543723963
"61",230,0.000160621365970938,55.5,31.5,22.0000026770228
"62",233,0.000125391544584367,27.5,16.5,16.0000020898591
"63",231,0.00012539154534988,19,11,40.0000020898591
"64",234,0.000222389854168448,47.5,27.5,38.0000037064976
"65",236,0.000448539534846878,42.5,23.5,34.0000074756589
"66",290,0.0588783307166136,37.5,20.5,32.0009813055119
"67",289,0.000321326993592413,36.5,20.5,26.0000053554499
"68",286,0.0188570041557018,31,18,44.0003142834026
"69",293,0.00494513641638059,53.5,31.5,46.0000824189403
"70",295,0.000125405029558277,54,31,18.0000020900838
"71",294,0.000780521223441454,21,12,36.0000130086871
"72",296,0.000889559411015206,43,25,24.0000148259902
"73",299,0.000257145609557264,27.5,15.5,20.0000042857602
"74",301,0,21.5,11.5,30
"75",303,0,37,22,28
"76",305,0,31.5,17.5,26
"77",307,0,30.5,17.5,48
"78",309,0,56.5,32.5,26
"79",311,0,29,16,46
"80",313,0,53.5,30.5,36
"81",315,0,42,24,16
"82",317,0,19,11,48
"83",319,0,55,31,32
"84",318,0.00017386201948923,36,20,44.0000028977003
"85",320,0.00017386201948923,50,28,18.0000028977003
"86",324,0.00165846106810724,20,11,12.0000276410178
"87",323,0.00228420727353341,12.5,6.5,6.00003807012123
"88",321,0.00165846106810724,7,4,26.0000276410178
"89",325,0.0127290690815401,27.5,14.5,24.0002121511514
"90",322,0.0227337239344873,25.5,13.5,44.0003788953989
"91",326,0.0122622751083357,54,32,54.0002043712518
"92",332,0.00918023225988756,62.5,35.5,50.000153003871
"93",328,0.0126469517685357,58.5,33.5,34.0002107825295
"94",331,0.00100243014104678,37.5,20.5,44.000016707169
"95",327,0.00918023225988756,53,31,22.000153003871
"96",339,0.0104877767000742,25.5,14.5,34.0001747962783
"97",343,0.0327817582733017,40.5,23.5,26.0005463626379
"98",345,0,29,16,38
"99",347,0.0141336389974228,47,28,20.00023556065
"100",344,0.00699182750215257,21.5,11.5,20.0001165304584
"101",348,0.00699182750215257,22,12,36.0001165304584
"102",352,0.00361649510642795,43,25,18.0000602749184
"103",354,0.00179417026320573,19,10,26.0000299028377
"104",359,0.00345295674091593,30.5,17.5,44.000057549279
"105",202,0.66493498167362,51.5,29.5,32.0110822496946
"106",204,0.00278473677416646,38.5,22.5,52.0000464122796
"107",281,0.198535433950229,62,36,30.0033089238992
"108",284,0.000420721438400382,37,22,22.000007012024
"109",334,0.109578308422768,26,15,24.0018263051404
"110",337,0.00058996391181755,29,17,18.0000098327319
"111",335,0.00984688168415147,20,11,58.0001641146947
"112",333,0.0361486561707176,67.5,38.5,36.0006024776028
"113",285,0.109578308422768,45,27,32.0018263051404
"114",288,0.00151587242347495,38.5,22.5,18.0000252645404
"115",291,0.000321326993592413,22.5,13.5,28.0000053554499
"116",374,0.109536666372205,30.5,16.5,38.0018256111062
"117",377,0.00568160048857407,45.5,26.5,4.00009469334148
"118",376,0.00170515491048455,4.5,2.5,40.0000284192485
"119",375,0.00568160048857407,48,28,18.0000946933415
"120",378,0.00170515491048455,20.5,11.5,44.0000284192485
"121",381,0.00175041519830039,50.5,28.5,16.0000291735866
"122",383,0.000365382621579867,17.5,9.5,18.0000060897104
"123",385,0.000655847368949121,20.5,11.5,22.0000109307895
"124",384,0.00198668031139431,22.5,11.5,34.0000331113385
"125",386,0.00138841938749686,42,25,14.0000231403231
"126",388,0.000567939558344366,17,10,32.0000094656593
"127",390,0.000206449231291927,38.5,22.5,40.0000034408205
"128",393,0.000883913749254506,48,28,36.0000147318958
"129",412,0.0113693936256127,43.5,25.5,16.0001894898938
"130",417,0.000405874429269437,18,10,22.0000067645738
"131",419,0.000289908228304687,27,16,6.00000483180381
"132",415,0.00101047250459386,7.5,4.5,22.0000168412084
"133",420,0.00124408593367577,26.5,15.5,16.0000207347656
"134",413,0.00155514800674931,20,12,58.0000259191334
"135",416,0.00179417241579884,68,39,50.0000299028736
"136",410,0.000841661150557541,58.5,33.5,2.00001402768584
"137",409,0.000567939506949487,2,1,28.0000094656585
"138",408,0.00125703211452203,35,21,36.0000209505352
"139",407,0.000365228276087865,40,22,56.0000060871379
"140",421,0.00204828928293634,66,38,30.0000341381547
"141",499,0.131629857777315,37,22,50.002193830963
"142",532,0.00582471435068745,58,33,54.0000970785725
"143",542,0,63.5,36.5,24
"144",546,0,27,15,28
"145",549,0,31.5,17.5,56
"146",548,0.00204221843265431,66,38,2.00003403697388
"147",547,0,2,1,20
"148",550,0.00204221843265431,24,14,26.0000340369739
"149",552,0,31,18,24
"150",551,0.00145595486346917,25.5,13.5,20.0000242659144
"151",553,0.00145595486346917,23,13,24.0000242659144
"152",555,0,25.5,13.5,32
"153",557,0,36,20,56
"154",559,0.000771389344859135,65,37,20.0000128564891
"155",491,0.0587098891751186,22.5,12.5,48.0009784981529
"156",485,0.00372981504561701,55,31,38.0000621635841
"157",484,0.000937118434138595,47.5,28.5,34.0000156186406
"158",492,0.00372981504561701,40,23,26.0000621635841
"159",494,0.0021908063921765,31,18,24.0000365134399
"160",493,0.00273390906085989,25,13,16.000045565151
"161",495,0.00285914603537898,17,9,34.0000476524339
"162",497,0.00107991039218357,42.5,25.5,24.0000179985065
"163",589,0.0989842141394832,25,13,28.0016497369023
"164",595,0.0169497805323053,31,17,40.0002824963422
"165",594,0.00323893460753827,45,25,24.0000539822435
"166",597,0.00363469760122175,25.5,13.5,38.0000605782934
"167",596,0.0119679492835691,45,26,12.0001994658214
"168",590,0.0203356945619096,13.5,7.5,30.0003389282427
"169",593,0.000501585952329188,37.5,22.5,32.0000083597659
"170",591,0.00168687929354027,37.5,21.5,26.0000281146549
"171",588,0.00180928267794482,31.5,18.5,16.0000301547113
"172",592,0.00180928267794482,19.5,11.5,36.0000301547113
"173",598,0.016828608479123,45,27,26.000280476808
"174",684,0.0995950584184993,31.5,18.5,22.0016599176403
"175",707,0.0702143432774893,23.5,12.5,30.0011702390546
"176",688,0.0182649688467782,37.5,22.5,30.0003044161474
"177",701,0.00689742559677879,33.5,18.5,18.0001149570933
