"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1",1,0,0,0,0
"2",6,5.46216606354085,49,28,32.091036101059
"3",8,0.00358177060391216,35.5,19.5,36.0000596961767
"4",10,0.00447705596406041,41,23,48.0000746175994
"5",13,0.0031819211898386,57,33,8.00005303201983
"6",11,0.0162009344597827,10,6,36.0002700155743
"7",9,0.00607075287012002,44,26,16.0001011792145
"8",12,0.00170044025889645,18.5,10.5,38.000028340671
"9",14,0.0130604319880045,46.5,27.5,46.0002176738665
"10",7,0.0544102719583714,55,32,54.000906837866
"11",15,0.0577209809718851,63.5,36.5,18.0009620163495
"12",17,0.00182573353514215,19.5,10.5,22.0000304288923
"13",29,0.546756914066121,25,14,28.0091126152344
"14",31,0.00288583335612148,31,17,34.0000480972226
"15",33,0.00762799398311527,39.5,22.5,20.0001271332331
"16",35,0.00413925226949182,24,14,30.0000689875378
"17",38,0.00642815361749776,37,22,14.0001071358936
"18",37,0.00288672966820234,16.5,9.5,26.0000481121611
"19",34,0.0048095582759476,31.5,18.5,10.0000801593046
"20",39,0.00657317552666752,10.5,5.5,22.0001095529254
"21",41,0,24.5,13.5,42
"22",45,0.173150236297403,47.5,26.5,28.0028858372716
"23",47,0,32,18,48
"24",50,0.0185053944366915,56.5,32.5,42.0003084232406
"25",52,0.0128152555886841,49.5,28.5,14.0002135875931
"26",54,0.00134722667713072,17,10,32.000022453778
"27",56,0.00152891405829679,37,21,30.000025481901
"28",58,0.00268633505076152,33.5,18.5,22.0000447722508
"29",61,0.0232801037520063,25,14,48.0003880017292
"30",63,0.0111725962526794,55.5,31.5,36.0001862099375
"31",65,0.00191262242878765,40.5,22.5,26.0000318770405
"32",67,0.399272532148998,32.5,19.5,12.0066545422025
"33",69,0.00818330593189686,12.5,6.5,30.0001363884322
"34",72,0.000258736909526167,35.5,20.5,36.0000043122818
"35",74,0,43,25,8
"36",73,0.000999111493902949,10,6,56.0000166518582
"37",75,0.000999111493902949,65,37,32.0000166518582
"38",78,0,37,21,44
"39",82,0.133846983299372,54,32,8.00223078305499
"40",84,0.00366191837535228,8.5,4.5,16.0000610319729
"41",86,0,20,12,38
"42",91,0.000830101790902759,46,27,34.0000138350298
"43",93,0.0022238985331966,40.5,23.5,34.0000370649756
"44",98,0.00741341741443481,40.5,23.5,30.0001235569569
"45",94,0.00813741338463992,33.5,18.5,32.0001356235564
"46",96,0.00192249336015241,35,19,26.000032041556
"47",95,0.00307803626134511,31,18,14.0000513006044
"48",97,0.00161648972440987,14.5,7.5,24.0000269414954
"49",99,0.000891472997577701,25,13,36.0000148578833
"50",103,0.00153507086771482,44,26,42.0000255845145
"51",101,0.00145646132384568,51.5,30.5,32.0000242743554
"52",104,0.00379187936662597,38,22,26.0000631979894
"53",100,0.00316033247670961,29.5,16.5,2.00005267220795
"54",102,0.00512328882099882,2.5,1.5,58.000085388147
"55",105,0.00285526683186702,68,39,22.0000475877805
"56",79,0.25426100982991,24,13,10.0042376834972
"57",81,0.000938034974800205,10.5,5.5,28.0000156339162
"58",106,0.255217752178814,34.5,20.5,36.004253629203
"59",108,0.000125584330215625,43.5,25.5,20.0000020930722
"60",107,0.00139549608446521,20.5,10.5,52.0000232582681
"61",109,0.00148735492636632,60,34,12.0000247892488
"62",112,0.000322447144261242,14.5,8.5,14.0000053741191
"63",114,0.000283058029599729,17,10,38.0000047176338
"64",113,0.00117152314914866,45,26,52.0000195253858
"65",115,0.0012215330368589,60.5,34.5,40.000020358884
"66",80,0.663718189806962,49.5,29.5,48.0110619698301
"67",116,0.663002409463334,55,31,6.01105004015772
"68",118,0,7,4,12
"69",120,0.0114827795033499,15,9,48.0001913796584
"70",122,0.0100320129173548,57,33,6.00016720021529
"71",124,0.00653434478288905,6.5,3.5,28.0001089057464
"72",126,0,33.5,19.5,46
"73",128,0.0515473246378766,54.5,31.5,32.0008591220773
"74",130,0.00854467100486734,37,21,38.0001424111834
"75",129,0.0954799547466174,42.5,23.5,32.0015913325791
"76",131,0.0989332165842886,35.5,19.5,30.0016488869431
"77",127,0.169702656483602,32.5,17.5,28.0028283776081
"78",132,0.139861851337801,33.5,19.5,30.0023310308556
"79",134,0.0259769183891744,33.5,18.5,24.0004329486398
"80",133,0.0669190469019724,25,13,40.0011153174484
"81",135,0.0412533591077676,45,25,32.0006875559851
"82",137,0.893407364537874,37,21,20.0148901227423
"83",140,0.00165068562709148,23.5,13.5,32.0000275114271
"84",143,0.00272270243937065,35,19,32.000045378374
"85",142,0.367063208216418,39,23,12.0061177201369
"86",141,0.00272270243937065,12.5,6.5,20.000045378374
"87",139,0.00181865267985352,20,10,12.000030310878
"88",138,0.00165068562709148,13.5,7.5,52.0000275114271
"89",144,0.368288896521264,62,36,40.0061381482754
"90",121,1.26970879123876,48,28,24.0211618131873
"91",119,0.882221353672557,29.5,17.5,38.0147036892279
"92",110,0.261356400365021,42.5,23.5,20.0043559400061
"93",92,0.594528336141976,22,12,34.0099088056024
"94",111,0.596674037363423,40.5,23.5,30.0099445672894
"95",136,1.32752268645944,33.5,18.5,20.0221253781077
"96",145,2.23919939804161,25,15,10.0373199899674
"97",125,1.96379404454996,10.5,5.5,34.0327299007425
"98",123,0.0164303795053836,42.5,25.5,24.0002738396584
"99",117,0.137506583379536,26.5,14.5,26.0022917763897
"100",146,2.10034874318991,30.5,17.5,12.0350058123865
"101",165,5.25066952774456,14,8,22.0875111587957
"102",171,0.0100364399214276,27.5,16.5,24.0001672739987
"103",170,0.0494480598904934,25,13,24.0008241343315
"104",169,0,29,17,14
"105",168,0,16,9,16
"106",167,0,18.5,10.5,24
"107",166,0.0100364399214276,30,18,50.0001672739987
"108",172,0.0494480598904934,58.5,33.5,16.0008241343315
"109",175,0.0997224405155528,18,10,10.0016620406753
"110",174,0.115429724517192,10,5,48.001923828742
"111",173,0.0997224405155528,57,33,26.0016620406753
"112",176,0.115429724517192,27.5,14.5,34.001923828742
"113",178,0.128604753768906,42,25,32.0021434125628
"114",190,0.320013631913937,37.5,21.5,16.0053335605319
"115",192,0.00432679176181508,16,8,22.000072113196
"116",194,0,25,14,50
"117",193,0.0015869906790371,57.5,32.5,32.0000264498447
"118",195,0.0015869906790371,39.5,23.5,20.0000264498447
"119",197,0,24.5,14.5,50
"120",196,0.00468113753760778,57.5,32.5,38.000078018959
"121",198,0.00468113753760778,44.5,25.5,50.000078018959
"122",231,0.891064032731142,59,34,36.0148510672122
"123",233,0.00388974982446772,44,26,12.0000648291637
"124",235,0,13.5,7.5,24
"125",237,0.00263930305924963,29,17,10.0000439883843
"126",236,0.0125081799480651,10.5,5.5,32.0002084696658
"127",238,0.0145482468210521,35,19,28.0002424707803
"128",221,0.243183248320577,30.5,16.5,40.0040530541387
"129",223,0,50,30,18
"130",222,0.000251088501088419,22.5,13.5,44.0000041848083
"131",224,0.000251088501088419,51,29,22.0000041848084
"132",227,0.0133621707536189,25.5,14.5,28.0002227028459
"133",232,0.281430963055724,30,16,26.0046905160509
"134",241,0.125331413587157,30.5,17.5,54.0020888568931
"135",240,0.082108000250023,63,36,30.0013684666708
"136",242,0.00596294713937295,35.5,20.5,34.0000993824523
"137",245,0.0152870706954716,41,24,36.0002547845116
"138",247,0.000338639070518549,41,23,36.0000056439845
"139",249,0.00691927570960382,44.5,26.5,30.0001153212618
"140",252,0.00161109267471075,37,22,40.0000268515446
"141",251,0.00280359593992942,50,30,28.000046726599
"142",250,0.00161109267471075,33.5,19.5,34.0000268515446
"143",253,0.00280359593992942,38.5,21.5,38.000046726599
"144",244,0.966396917613329,44.5,25.5,50.0161066152936
"145",243,0.0152870706954716,59.5,34.5,28.0002547845116
"146",234,0.235483687722914,31,17,32.0039247281287
"147",230,0.0204967462473934,39,23,32.0003416124375
"148",229,0,36,20,12
"149",199,0.891064032731142,13.5,7.5,50.0148510672122
"150",183,0.251481453657167,58.5,33.5,14.004191357561
"151",187,0.067382484989216,16.5,9.5,22.0011230414165
"152",184,0.0784692727157274,25,14,30.0013078212119
"153",186,0.0108513198884605,33.5,18.5,14.0001808553315
"154",188,0.140444376386713,16.5,9.5,50.0023407396064
"155",185,0.279731395193939,57.5,32.5,18.0046621899199
"156",189,0.289327451740325,19,10,44.0048221241957
"157",179,0.320013631913937,52.5,30.5,22.0053335605319
"158",181,0.0869631201177307,27,16,22.0014493853353
"159",180,0.140392924549379,26.5,15.5,38.0023398820758
"160",182,0.203429665138694,47.5,28.5,28.003390494419
"161",200,0.251481453657167,32,18,50.004191357561
"162",204,0.000879558242581953,58.5,33.5,40.000014659304
"163",206,0.000259571724780566,46,26,50.0000043261954
"164",208,0.00125708691128526,59.5,34.5,10.0000209514485
"165",211,0.184275044792998,12,7,26.0030712507466
"166",214,0.00298684418070727,28.5,15.5,20.0000497807363
"167",216,0.0434367554081176,21,11,38.0007239459235
"168",218,0.000753310712567649,45,26,42.0000125551785
"169",226,0.136654782368182,52,31,32.0022775797061
"170",225,0.0133621707536189,39.5,23.5,8.00022270284589
"171",219,0.136654782368182,10,6,14.0022775797061
"172",255,0.517545566485102,17.5,10.5,20.0086257594414
"173",220,0.56695033166088,24.5,14.5,14.0094491721943
"174",239,0.243183248320577,14.5,7.5,32.0040530541387
"175",246,0.124733532904896,38.5,22.5,28.0020788922151
"176",248,0.200296651608205,34,20,22.0033382775268
"177",258,0.278972563041985,24,13,20.0046495427174
"178",260,0.00779416880146367,23,13,12.0001299028134
