"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1",1,0,0,0,0
"2",4,1.93924095972792,35,20,36.0323206826621
"3",6,0.00793245400514554,39,21,38.0001322075668
"4",9,0.0100367133630022,47.5,28.5,64.000167278556
"5",12,0.0104143101666764,76.5,44.5,36.0001735718361
"6",11,0.00184859359187157,42.5,24.5,20.0000308098932
"7",13,0.000726228126508343,23.5,13.5,44.0000121038021
"8",10,0.0131323127996424,48,26,18.00021887188
"9",14,0.00165990149413182,18,9,30.0000276650249
"10",16,0.0542687001386949,33,18,34.0009044783356
"11",18,0.0541885007345193,38,21,40.0009031416789
"12",20,0.0165829651554512,42.5,22.5,24.0002763827526
"13",22,0.00702511257954249,26.5,14.5,28.0001170852097
"14",21,0.00860702800632472,30,16,64.0001434504668
"15",23,0.00159595539782027,79,47,62.0000265992566
"16",19,0.0750551915563097,73.5,42.5,66.0012509198593
"17",24,0.0912515578768881,80.5,47.5,36.0015208592979
"18",29,0.0470445350920682,42,24,32.0007840755849
"19",32,0.0013603996323157,36,20,40.0000226733272
"20",34,0.0024408582314431,42.5,22.5,34.0000406809705
"21",36,0.00852751889611914,41,24,10.0001421253149
"22",40,0.00740224753491875,11,6,66.0001233707922
"23",42,0.00335685982423802,79.5,46.5,52.0000559476637
"24",47,0.00275901779026037,62,36,28.0000459836298
"25",46,0.00811961036822009,29,15,26.0001353268395
"26",43,0.00275901779026037,28.5,15.5,68.0000459836298
"27",41,0.00805870246425636,79.5,45.5,56.0001343117077
"28",44,0.00524870303492587,69,41,50.0000874783839
"29",37,0.0268026606803925,61.5,36.5,44.0004467110113
"30",45,0.0295155388092625,53,31,24.0004919256468
"31",48,0.00811961036822009,24,12,60.0001353268395
"32",50,0.0229365380687709,68.5,38.5,30.0003822756345
"33",52,0.0105484633412865,33,18,32.0001758077224
"34",51,0.0190299824403004,36,20,44.000317166374
"35",53,0.00924470999452369,48,26,22.0001540784999
"36",49,0.0721226008067972,27.5,16.5,62.0012020433468
"37",54,0.0499419134174386,73,42,14.0008323652236
"38",58,0.00588803959736003,16.5,9.5,60.0000981339933
"39",57,0.00486558234771929,70.5,40.5,16.0000810930391
"40",59,0.00454294106893467,16,8,78.0000757156845
"41",65,0.00230224528045346,93,54,36.0000383707547
"42",63,0.00235167348331534,43.5,25.5,30.0000391945581
"43",66,0.0024079690224226,33,18,46.000040132817
"44",64,0.00385576560599012,57.5,34.5,28.0000642627601
"45",60,0.00230224528045346,29,15,42.0000383707547
"46",62,0.0010611050419636,49,28,32.000017685084
"47",67,0.00434976659521301,39.5,23.5,14.0000724961099
"48",7,4.03970602613431,17.5,10.5,60.0673284337689
"49",5,0.0213417155846772,70.5,40.5,40.0003556952597
"50",8,0.0196457073367449,48.5,28.5,36.0003274284556
"51",15,0.242135420644647,43,25,54.0040355903441
"52",17,0.0255782021121146,65.5,38.5,70.0004263033685
"53",68,4.03214330671302,84,49,42.0672023884452
"54",70,0.00568886145188092,50,29,48.0000948143575
"55",69,0.0100123774625333,57,33,76.0001668729577
"56",71,0.00504257721146889,89.5,51.5,44.0000840429535
"57",79,3.79738077497177,54,32,10.0632896795829
"58",82,0.00643340574544237,11.5,6.5,24.0001072234291
"59",84,0.0152715825015186,29.5,17.5,60.000254526375
"60",86,0.00223141192281732,70,40,52.0000371901987
"61",85,0.00652616298450404,57.5,31.5,22.0001087693831
"62",87,0.00491381408491476,26.5,15.5,86.0000818969014
"63",90,0.0105969096048334,100,57,70.0001766151601
"64",92,0.00119416073146657,82,47,22.0000199026789
"65",89,0.0102830898236794,27,16,70.0001713848304
"66",91,0.00896587755176247,85,50,44.0001494312925
"67",94,0.00265912610167766,50.5,28.5,18.0000443187684
"68",93,0.0106207733102838,22.5,13.5,52.0001770128885
"69",95,0.0015063917692082,63.5,37.5,56.0000251065295
"70",88,0.03206418493336,66,38,68.0005344030822
"71",96,0.0219851567083554,82.5,48.5,12.0003664192785
"72",98,0.0022198499668638,14.5,8.5,18.0000369974994
"73",100,0.00457480794910173,18.5,9.5,48.0000762467992
"74",97,0.014937444319037,58,34,86.0002489574053
"75",99,0.00823853107759132,101,58,20.0001373088513
"76",101,0.0129448990917453,24.5,14.5,32.0002157483182
"77",105,0.00257467680079054,35.5,19.5,54.00004291128
