"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1",1,0,0,0,0
"2",3,4.53973406151651,26.5,14.5,66.0756622343586
"3",5,0.0731986070008478,75.5,42.5,76.0012199767833
"4",8,0.00382152114649993,90.5,52.5,14.0000636920191
"5",7,0.0857750602771988,16,9,42.001429584338
"6",6,0.00382152114649993,52.5,31.5,6.00006369201911
"7",9,0.0857750602771988,6.5,3.5,62.001429584338
"8",11,0.00047769793678657,71,40,44.0000079616323
"9",14,0.0527164422556629,50.5,28.5,40.0008786073709
"10",16,0.000884612434328473,47.5,27.5,52.0000147435406
"11",18,0.000763289576406415,63,37,40.0000127214929
"12",17,0.00147442352256355,43.5,23.5,30.0000245737254
"13",19,0.00141294457265354,33.5,18.5,30.0000235490762
"14",21,0.00087817408781503,37.5,22.5,20.0000146362348
"15",20,0.0140239878440645,22,12,54.0002337331307
"16",22,0.0131458200650641,65.5,38.5,24.0002190970011
"17",25,0.0383232677242194,24,12,34.0006387211287
"18",24,0.00337247438559172,41,24,52.0000562079064
"19",26,0.00337247438559172,60.5,34.5,78.0000562079064
"20",28,0.0196857021543944,92.5,53.5,34.0003280950359
"21",30,0.0282754140587873,42,25,60.000471256901
"22",32,5.80908228755702e-05,68.5,38.5,30.0000009681804
"23",34,0,37.5,22.5,66
"24",36,0.000125454597334163,75.5,42.5,44.00000209091
"25",39,0.000257598651105939,55,33,68.0000042933109
"26",43,0.000321636465811759,78,44,80.0000053606078
"27",40,0.00036581545827994,95,55,70.0000060969243
"28",42,0,84.5,49.5,38
"29",41,0,47.5,28.5,80
"30",45,0.000338605013088092,94,54,42.0000056434169
"31",44,0.000477702760632553,47,26,42.0000079617127
"32",48,0.000448557171059983,47.5,26.5,34.0000074759528
"33",51,0,42.5,25.5,42
"34",54,0.000706475806747272,51.5,30.5,26.0000117745968
"35",56,0,27.5,14.5,18
"36",73,0.132815076785652,19,10,36.0022135846131
"37",75,0.00498949793241209,40,22,46.0000831582989
"38",74,0.0112114855595831,56,33,62.0001868580927
"39",76,0.00780983268576871,71,40,62.0001301638781
"40",78,0.0080769413603029,74.5,43.5,48.0001346156893
"41",77,0.0529119406112675,56.5,32.5,46.0008818656769
