,total_route,single_distance,single_cargo_weight,single_cargo_volume,total_travel_time
1,1,0,0,0,0
2,3,0,10,5,52
3,21,0.2318958,62,36,40.00386493
4,23,0,49.5,29.5,28
5,19,0.071702142,33,19,24.00119504
6,22,0.091246772,29,17,12.00152078
7,20,0.091246772,13.5,7.5,50.00152078
8,4,0.2318958,58.5,33.5,12.00386493
9,6,0.02121702,12.5,6.5,42.00035362
10,5,0.06183865,50.5,29.5,50.00103064
11,7,0.040856249,59,34,16.00068094
12,10,0.012023237,20,12,56.00020039
13,13,0.004161561,65.5,37.5,10.00006936
14,15,0.031344467,10,5,26.00052241
15,14,0.032141531,29.5,16.5,36.00053569
16,16,0.000797473,40.5,22.5,28.00001329
17,9,0.014464123,35,21,26.00024107
18,8,0.012023237,27.5,14.5,44.00020039
19,11,0.014117688,52.5,30.5,22.00023529
20,17,0.018167506,25.5,14.5,22.00030279
21,24,0.253947694,27.5,16.5,8.004232462
22,35,0.012047384,8.5,4.5,40.00020079
23,37,0.002706305,47.5,27.5,32.00004511
24,39,0,37,21,54
25,52,0.098393822,63.5,36.5,10.0016399
26,51,0.006504557,10.5,5.5,24.00010841
27,48,0.031497538,25.5,13.5,38.00052496
28,50,0.001540414,42.5,23.5,54.00002567
29,49,0.0057349,64,37,46.00009558
30,53,0.009096613,54.5,31.5,32.00015161
31,63,0.008895363,39,23,50.00014826
32,65,0.00734457,57.5,32.5,0.00012241
33,68,0.003478011,0,0,30.00005797
34,44,0.094685144,32.5,17.5,32.00157809
35,46,0.001704452,39,23,18.00002841
36,43,0.053997096,18.5,9.5,4.000899952
37,47,0.053997096,4,2,14.00089995
38,40,0.103545776,16.5,9.5,26.00172576
39,129,0.211567189,32,19,8.00352612
40,135,0.00064217,8.5,4.5,46.0000107
41,134,0.001909976,54.5,31.5,4.000031833
42,130,0.00064217,4.5,2.5,22.0000107
43,133,0,23,12,12
44,132,0,14,8,18
45,131,0,19,10,38
46,136,0.001909976,45,26,16.00003183
