"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1",1,0,0,0,0
"2",14,0.822983786066201,36.5,21.5,20.0137163964344
"3",16,0.000780532834560892,24,14,16.0000130088806
"4",19,0.000812363839386542,19.5,11.5,44.0000135393973
"5",18,0.00822862997083317,54,32,50.0001371438328
"6",17,0.000812363839386542,58,33,8.00001353939732
"7",15,0.00202250903788873,9.5,5.5,36.000033708484
"8",20,0.00945603818402668,40.5,22.5,4.0001576006364
"9",13,0.412320892154965,4.5,2.5,24.0068720148692
"10",21,0.439938102097075,28.5,16.5,32.0073323017016
"11",24,0.011803174139444,38.5,22.5,6.00019671956899
"12",23,0.019623260328098,7,4,18.0003270543388
"13",22,0.011803174139444,19.5,10.5,18.000196719569
"14",25,0.019623260328098,18,9,22.0003270543388
"15",27,0.0393799506212019,25,14,22.0006563325104
"16",26,0.0396302196122913,24.5,13.5,26.0006605036602
"17",28,0.000250938932682003,29,16,30.0000041823155
"18",30,0.000778888568128042,34,19,14.0000129814761
"19",29,0.00268266435720361,14.5,7.5,8.00004471107262
"20",31,0.0019215024416637,8,4,30.0000320250407
"21",33,0.0071692220170935,36,21,40.0001194870336
"22",32,0.00873015633427361,47,27,20.0001455026056
"23",34,0.0059503476519966,22.5,12.5,50.0000991724609
"24",36,0.010334122336706,58.5,33.5,30.0001722353723
"25",35,0.113462140162088,36,21,24.0018910356694
"26",37,0.103957492309476,26,14,38.0017326248718
"27",40,0.24094999096893,44,25,50.0040158331828
"28",39,0.17500382929197,57.5,32.5,8.0029167304882
"29",38,0.24094999096893,8.5,4.5,16.0040158331828
"30",41,0.17500382929197,17.5,9.5,40.0029167304882
"31",45,0.337551750276818,45.5,25.5,38.0056258625046
"32",47,0.0214283382376211,43.5,24.5,28.0003571389706
"33",52,0.0107782489715584,34.5,20.5,38.0001796374829
"34",54,0.0022438373693176,43.5,24.5,28.0000373972895
"35",53,0.0773524702311157,34.5,20.5,40.0012892078372
"36",55,0.0790707210770499,47,27,36.0013178453513
"37",57,0.0154309824548484,44.5,26.5,28.0002571830409
"38",71,0,31.5,17.5,42
"39",70,0.00211989254595804,51.5,30.5,6.00003533154243
"40",69,0,6,3,40
"41",68,0,45.5,25.5,30
"42",67,0,35.5,20.5,38
"43",66,0,47.5,28.5,40
"44",65,0,49,29,40
"45",64,0,49,29,30
"46",63,0,36.5,21.5,28
"47",62,0,32,18,46
"48",61,0,54.5,31.5,20
"49",60,0,20,10,34
"50",59,0,42,25,26
"51",58,0,29.5,16.5,36
"52",86,0.0017003885983953,43.5,25.5,24.00002833981
"53",85,0.000878358686812211,26.5,14.5,32.0000146393114
"54",84,0,38,22,44
"55",83,0,51,29,14
"56",82,0,14.5,7.5,20
"57",81,0,21.5,11.5,14
"58",80,0,17.5,10.5,6
"59",87,0.000878358686812211,7.5,4.5,40.0000146393114
"60",89,0,49,29,46
"61",91,0,55,32,46
"62",126,0.00109562915322376,54.5,31.5,12.0000182604859
"63",128,0,14,8,50
"64",127,0.000282639757844721,58.5,33.5,28.0000047106626
"65",125,0.000174436198103531,32.5,18.5,48.00000290727
"66",124,0,57,33,48
"67",123,0,56.5,32.5,22
"68",122,0,26,15,40
"69",129,0.000413725983166274,47.5,27.5,34.0000068954331
"70",133,0,40.5,23.5,28
"71",137,0,32.5,18.5,30
"72",132,0.00146412530588138,33.5,18.5,22.0000244020884
